	chao1	observed_species	shannon	goods_coverage
Aus.K9.42	3957.1832061068703	1248.0	6.41301538110254	0.9319612590799031
Aus.K9.43	3170.0425531914893	1146.0	6.618601929319124	0.9389830508474576
Aus.K9.46	3486.0	1161.0	6.337081100901891	0.9374495560936239
Aus.K9.47	4005.7894736842104	1362.0	7.113366836878079	0.9276029055690073
Aus.K9.50	2862.133333333333	1086.0	6.3079638365165085	0.9440677966101695
Aus.K9.52	3911.6470588235293	1271.0	6.598042649785888	0.9315577078288942
Aus.K9.53	2748.2236842105262	1097.0	5.944715163406924	0.9427764326069411
Aus.K9.56	3648.5693430656934	1257.0	6.610302838740847	0.9346246973365617
Aus.K9.58	3473.184713375796	1266.0	6.657148925212466	0.9327683615819209
Aus.K9.60	3562.2922077922076	1285.0	6.85764698903482	0.932364810330912
Aus.K9.61	3072.1409395973155	1177.0	6.395501807818414	0.9393058918482647
Aus.K9.63	3432.225	1313.0	6.961179519720486	0.9334947538337369
Aus.K9.65	2636.0077519379847	1031.0	6.185455477404661	0.9480225988700565
Aus.K9.66	2672.5	1063.0	6.207550617501604	0.9461662631154156
Aus.K9.68	3476.417910447761	1180.0	6.5470394214065415	0.9366424535916061
Aus.K9.69	2197.303370786517	790.0	4.792783442242608	0.9595641646489104
Aus.K9.70	3394.3395061728397	1286.0	6.974775629223975	0.9332526230831315
Aus.K9.71	3843.6666666666665	1224.0	6.246035526170921	0.9343825665859564
Aus.K9.72	3696.2743902439024	1386.0	7.578538521657269	0.9297013720742534
Aus.K9.73	3512.6363636363635	1244.0	6.557125646363957	0.9349475383373689
Aus.K9.74	3110.089285714286	1255.0	6.89879602795947	0.9362389023405973
Aus.K9.75	2540.2900763358775	1023.0	6.129362885311733	0.9490718321226795
Aus.K9.76	3523.5342465753424	1246.0	6.838662122134807	0.9341404358353511
Aus.K9.77	3126.0074074074073	1117.0	6.263835524674734	0.9405165456012914
Aus.K9.78	4085.4545454545455	1470.0	7.1597948491093195	0.9225181598062954
Aus.K9.79	3481.5508021390374	1385.0	7.012369675886826	0.9284907183212268
Aus.K9.80	3185.734265734266	1190.0	6.423543708068313	0.9389830508474576
Aus.K9.82	3367.6666666666665	1305.0	6.975039132365405	0.9327683615819209
Aus.K9.83	2539.5	961.0	5.600847043958023	0.9502824858757062
Aus.K9.85	3937.8	1330.0	7.0756699121474975	0.9285714285714286
Aus.K9.87	3858.3153846153846	1231.0	7.121238088356701	0.9332526230831315
Aus.K9.88	4385.923076923077	1495.0	7.314819374180004	0.9201775625504439
Aus.K9.89	3285.9921259842517	1133.0	6.707289712294059	0.9402744148506861
Aus.K9.90	3666.171875	1188.0	5.661881122775286	0.9356739305891848
Aus.K9.92	3348.6136363636365	1198.0	6.861084124288186	0.9391444713478612
Aus.K9.93	3276.6013513513512	1208.0	6.975647990021446	0.9368038740920097
Aus.K9.94	2922.172131147541	1041.0	6.3056879085467905	0.9452784503631961
Aus.K9.97	2992.020134228188	1142.0	6.369664797947511	0.9400322841000807
Aus.K9.99	3453.0653594771243	1253.0	6.97794736051345	0.9337368845843422
Aus.K9.100	3278.0245901639346	1097.0	6.3606928496981645	0.9410815173527038
Aus.K9.101	2694.03738317757	918.0	4.930812524921809	0.9502017756255045
Aus.K9.104	3244.7398373983738	1111.0	6.3304723911237595	0.9414850686037126
Aus.K9.105	3096.0	1047.0	6.041442328731362	0.9447941888619855
Aus.K9.106	3392.781456953642	1239.0	6.834124227622744	0.934866828087167
Aus.K9.107	4194.0	1499.0	7.313582197342633	0.9209039548022598
Aus.K9.109	2466.1118421052633	1057.0	6.094733710429016	0.947134786117837
Aus.K9.110	2930.041958041958	1125.0	6.430143866377381	0.9419693301049233
Aus.K9.113	3616.475	1324.0	6.804990797497615	0.9308313155770783
Aus.K9.114	3159.6026490066224	1204.0	6.533401152255793	0.9379338175948345
Aus.K9.115	3614.9933774834435	1298.0	6.968400086627907	0.9324455205811137
Aus.K9.116	3630.1849315068494	1251.0	6.804547284278482	0.9326876513317192
Aus.K9.117	3254.9763779527557	1131.0	6.468661506291594	0.940677966101695
Aus.K9.118	3166.0	1231.0	6.679745974003724	0.9374495560936239
Aus.K9.119	3707.2042253521126	1261.0	6.690453932919328	0.9326876513317192
Aus.K9.120	3934.1065989847716	1504.0	7.351223656016131	0.9209846650524617
Aus.K9.121	3338.1655629139073	1248.0	6.834059631031366	0.9358353510895884
Aus.K9.122	3485.417910447761	1189.0	6.589903731345054	0.9366424535916061
Aus.K9.123	3162.395833333333	1191.0	6.02616994937203	0.9391444713478612
Aus.K9.124	2932.6555555555556	1275.0	6.779667299393197	0.9376109765940275
Aus.K9.125	3336.5822784810125	1268.0	6.87020326202944	0.9347054075867636
Aus.K9.126	3613.7608695652175	1216.0	6.5745571295974266	0.9343018563357547
Aus.K9.128	3710.3972602739727	1268.0	6.7497368172094045	0.9317998385794996
Aus.K9.129	3441.4647887323945	1230.0	6.401091546468348	0.935996771589992
Aus.K9.131	3559.117318435754	1354.0	6.727156004158308	0.9282485875706215
Aus.K9.132	3398.711764705882	1316.0	6.811743163254159	0.932041969330105
Aus.K9.133	3306.4615384615386	1088.0	5.792666562734943	0.9418079096045198
Aus.K9.134	3312.395209580838	1282.0	6.792594707450236	0.9334947538337369
Aus.K9.135	3449.9493670886077	1283.0	7.0165533605454895	0.9331719128329298
Aus.K9.138	3234.516129032258	1340.0	7.001049412280937	0.9322033898305084
Aus.K9.139	3566.435754189944	1391.0	7.181923733465995	0.9287328490718321
Aus.K9.140	3426.6408450704225	1204.0	6.7903239143467164	0.9358353510895884
Aus.K9.141	2517.061403508772	946.0	5.804962855442366	0.9516545601291364
Aus.K9.143	3232.536912751678	1230.0	6.771543138341643	0.9376109765940275
Aus.K9.145	3359.0258620689656	1109.0	6.4216512702901145	0.9416464891041162
Aus.K9.147	3618.0625	1214.0	6.652155261187264	0.9366424535916061
Aus.K9.148	2725.0075187969924	1055.0	6.17173514259549	0.9461662631154156
Aus.K9.149	2990.1724137931033	1000.0	5.846269047338568	0.9451170298627926
Aus.K9.150	3124.093023255814	1112.0	6.272365910415802	0.9418079096045198
Aus.K9.151	2494.8	734.0	4.43247001963328	0.9598870056497175
Aus.K9.152	2780.5072463768115	1048.0	6.36732460672979	0.9441485068603712
Aus.K9.153	2464.632183908046	835.0	5.493439912423481	0.9569814366424536
Aus.K9.154	2800.0	943.0	5.386339786570116	0.9500403551251009
Aus.K9.155	2617.3722627737225	1030.0	6.449194882456896	0.9467312348668281
Aus.K9.157	2247.25	985.0	5.6913457027116205	0.9519774011299436
Aus.K9.158	2857.2	1032.0	6.054992095698479	0.9454398708635997
Aus.K9.159	2994.8646616541355	1129.0	6.592440538435555	0.9430992736077481
Aus.K9.160	3728.645390070922	1271.0	6.816759782648258	0.9327683615819209
Aus.K9.161	3208.006289308176	1228.0	6.652995381427981	0.9359160613397901
Aus.K9.163	2303.1184210526317	746.0	4.673180536333875	0.9606941081517353
Aus.K9.165	3047.684210526316	1185.0	6.515746895634866	0.939225181598063
Aus.K9.166	3269.6328125	1145.0	6.657196888831052	0.9404358353510895
Aus.K9.167	2572.632075471698	883.0	5.240843399597305	0.9516545601291364
Aus.K9.169	3565.3716814159293	1093.0	6.664749756456841	0.9396287328490718
Aus.K9.170	3446.2954545454545	1180.0	6.657759400852763	0.9375302663438256
Aus.K9.171	3096.754491017964	1240.0	6.925928227750367	0.9364003228410008
Aus.K9.172	2409.009259259259	881.0	5.75756458090995	0.953591606133979
Aus.K9.173	2698.5	977.0	5.966583950680064	0.9493946731234867
Aus.K9.174	3004.1319444444443	1136.0	6.296918236042606	0.9407586763518967
Aus.K9.176	2660.6534653465346	911.0	5.54420426854094	0.9519774011299436
