#SampleID,Description,Subject,Age,Normal_Diet,Time_Point,Date_of_hunt,Sex,Breed,Sample_Type,Diet,Diet_type,Diet_Category,Diet_Sequence,Amino_Acid_Metabolism,Biosynthesis_of_Other_Secondary_Metabolites,Cancers,Carbohydrate_Metabolism,Cardiovascular_Diseases,Cell_Communication,Cell_Growth_and_Death,Cell_Motility,Cellular_Processes_and_Signaling,Circulatory_System,Digestive_System,Endocrine_System,Energy_Metabolism,Environmental_Adaptation,Enzyme_Families,Excretory_System,Folding_Sorting_and_Degradation,Genetic_Information_Processing,Glycan_Biosynthesis_and_Metabolism,Immune_System,Immune_System_Diseases,Infectious_Diseases,Lipid_Metabolism,Membrane_Transport,Metabolic_Diseases,Metabolism,Metabolism_of_Cofactors_and_Vitamins,Metabolism_of_Other_Amino_Acids,Metabolism_of_Terpenoids_and_Polyketides,Nervous_System,Neurodegenerative_Diseases,Nucleotide_Metabolism,Poorly_Characterized,Replication_and_Repair,Sensory_System,Signal_Transduction,Signaling_Molecules_and_Interaction,Transcription,Translation,Transport_and_Catabolism,Xenobiotics_Biodegradation_and_Metabolism
saAus.K9.159,B.4.22,baxter,1,Washout,Washout,2014,m,foxhound,individual,c,meat,High_Protein,bca,5918569.00,512891.00,58204.00,6361471.00,15.00,0.00,319308.00,974842.00,2520716.00,50.00,11137.00,145471.00,3530262.00,106087.00,1330342.00,7048.00,1463323.00,1667763.00,1123022.00,55091.00,27927.00,215987.00,1655406.00,7757348.00,57217.00,1549367.00,2875865.00,892877.00,950608.00,59389.00,66558.00,2515590.00,2924093.00,5449529.00,0.00,863902.00,131425.00,1752423.00,3527288.00,101918.00,1091660.00
saAus.K9.160,A.0.6,acorn,7,Baseline,Baseline,2008,f,foxhound,individual,c,meat,High_Protein,acb,3155778.00,293576.00,28922.00,3632837.00,1.00,0.00,169235.00,456795.00,1373308.00,378.00,6553.00,89775.00,1970893.00,49925.00,704169.00,4800.00,787787.00,859671.00,687962.00,27056.00,18215.00,112796.00,910254.00,4154462.00,29361.00,829043.00,1491234.00,458612.00,515936.00,33010.00,29370.00,1320352.00,1560251.00,2878593.00,0.00,493241.00,59207.00,931062.00,1813734.00,77441.00,601475.00
saAus.K9.161,A.2.2,amber,9,NA,End_Hypoallergenic,2006,f,foxhound,individual,a,z/d,Hypoallergenic,acb,6164868.00,580870.00,61648.00,7062710.00,25.00,0.00,343914.00,833026.00,2667295.00,87.00,18407.00,186290.00,3851831.00,98893.00,1385215.00,10250.00,1591413.00,1746951.00,1515148.00,56312.00,37231.00,232081.00,1771190.00,7948047.00,59118.00,1618426.00,2975839.00,925629.00,1050467.00,59123.00,59228.00,2715230.00,3131093.00,5850351.00,0.00,1003374.00,123107.00,1726663.00,3660236.00,154351.00,1192401.00
saAus.K9.163,A.4.3,honest,8,Washout,Washout,2007,f,foxhound,individual,c,meat,High_Protein,acb,2616116.00,211713.00,29256.00,2572695.00,0.00,0.00,136951.00,317157.00,1137007.00,10.00,1889.00,46977.00,1514318.00,45656.00,624112.00,1226.00,657389.00,754192.00,386266.00,24905.00,7483.00,104368.00,724691.00,3480345.00,25758.00,729048.00,1305813.00,439335.00,387875.00,27688.00,43838.00,1127645.00,1317252.00,2355816.00,0.00,305099.00,70536.00,807498.00,1626755.00,29740.00,475772.00
saAus.K9.165,A.0.22,barman,2,Baseline,Baseline,2013,m,foxhound,individual,c,meat,High_Protein,acb,2537082.00,227367.00,24362.00,2813149.00,2.00,0.00,136859.00,346695.00,1109702.00,15.00,5597.00,64055.00,1533324.00,40681.00,591202.00,3586.00,641841.00,715186.00,524889.00,22370.00,12098.00,96466.00,725338.00,3361762.00,24771.00,699290.00,1227779.00,397746.00,414925.00,26990.00,29996.00,1102408.00,1284385.00,2361909.00,0.00,362104.00,57167.00,751254.00,1533570.00,53929.00,497518.00
saAus.K9.166,B.6.17,spitster,2,NA,End_Hypoallergenic,2013,f,foxhound,individual,a,z/d,Hypoallergenic,bca,3612682.00,325644.00,36305.00,4107534.00,20.00,0.00,194202.00,543285.00,1516003.00,34.00,2961.00,86754.00,2181681.00,63651.00,796269.00,2385.00,852200.00,978035.00,588759.00,33125.00,17140.00,122031.00,999922.00,5301651.00,35875.00,910188.00,1629506.00,508788.00,577761.00,38552.00,32724.00,1487722.00,1774274.00,3380814.00,0.00,526488.00,64496.00,1163265.00,2124174.00,58969.00,637811.00
saAus.K9.167,B.4.18,hazard,2,Washout,Washout,2013,m,foxhound,individual,c,meat,High_Protein,bca,1770129.00,154339.00,15757.00,1811841.00,2.00,0.00,89429.00,275797.00,793882.00,12.00,2678.00,36632.00,1017120.00,28279.00,418348.00,2950.00,443009.00,510222.00,331927.00,14245.00,4493.00,69893.00,504266.00,2357526.00,16835.00,518631.00,881474.00,300986.00,276486.00,19734.00,29523.00,767042.00,913240.00,1603063.00,0.00,250516.00,48566.00,525432.00,1080929.00,29822.00,365647.00
saAus.K9.169,A.0.17,kindle,4,Baseline,Baseline,2011,f,foxhound,individual,c,meat,High_Protein,acb,2318678.00,213521.00,23327.00,2659669.00,3.00,0.00,120121.00,407258.00,985530.00,298.00,4503.00,63763.00,1429085.00,38735.00,515068.00,3881.00,597546.00,649086.00,508673.00,21076.00,10731.00,92922.00,661703.00,3188007.00,22203.00,623778.00,1092170.00,356109.00,387151.00,24062.00,25037.00,999536.00,1179554.00,2132863.00,0.00,398602.00,47042.00,683071.00,1368629.00,53000.00,446793.00
saAus.K9.170,B.4.3,promise,7,Washout,Washout,2008,f,foxhound,individual,c,meat,High_Protein,bca,2257250.00,207889.00,22511.00,2605221.00,6.00,0.00,120970.00,322420.00,985093.00,106.00,5435.00,63976.00,1410261.00,36775.00,508444.00,3490.00,576508.00,637929.00,520954.00,20425.00,13024.00,88753.00,650928.00,3064074.00,21908.00,601257.00,1077150.00,341783.00,381556.00,22401.00,21779.00,976798.00,1157841.00,2096483.00,0.00,380366.00,44123.00,657146.00,1318411.00,52647.00,434141.00
saAus.K9.171,B.6.6,brightly,5,NA,End_Hypoallergenic,2010,f,foxhound,individual,a,z/d,Hypoallergenic,bca,7824981.00,700430.00,76461.00,8922064.00,4.00,0.00,421780.00,1165698.00,3258998.00,33.00,13703.00,205151.00,4780023.00,135312.00,1735036.00,8319.00,1890584.00,2120260.00,1446753.00,73323.00,38966.00,276368.00,2152979.00,10966192.00,76004.00,1964529.00,3635177.00,1087051.00,1261648.00,82905.00,63590.00,3284763.00,3825122.00,7262814.00,0.00,1166526.00,132253.00,2421780.00,4612509.00,143700.00,1394619.00
saAus.K9.172,B.2.18,hazard,2,NA,End_High_Fibre,2013,m,foxhound,individual,b,w/d,High_Fibre,bca,1382194.00,143805.00,13598.00,1597887.00,0.00,0.00,78280.00,217594.00,559146.00,39.00,5043.00,44958.00,837176.00,22847.00,276116.00,1881.00,361579.00,395383.00,391363.00,12528.00,8229.00,50439.00,387091.00,1574029.00,14353.00,341543.00,683454.00,213375.00,239237.00,11860.00,12149.00,597038.00,690437.00,1304491.00,0.00,210541.00,30224.00,328023.00,805223.00,37802.00,256909.00
saAus.K9.173,A.4.23,bachelor,2,Washout,Washout,2013,m,foxhound,individual,c,meat,High_Protein,acb,2587256.00,216161.00,24530.00,2720178.00,0.00,0.00,128990.00,556220.00,1130758.00,4.00,2906.00,51775.00,1502061.00,48790.00,602087.00,3154.00,625330.00,719858.00,390453.00,23476.00,8475.00,98422.00,722672.00,3629738.00,24543.00,716443.00,1220667.00,399194.00,403755.00,28337.00,34984.00,1081896.00,1298483.00,2341343.00,0.00,393168.00,60720.00,846132.00,1539828.00,37913.00,477657.00
saAus.K9.174,A.4.7,ascot,7,Washout,Washout,2008,m,foxhound,individual,c,meat,High_Protein,acb,2763020.00,240509.00,25023.00,2966553.00,3.00,0.00,131200.00,884422.00,1219480.00,33.00,3177.00,59809.00,1580504.00,51186.00,628357.00,6907.00,649997.00,767428.00,449426.00,24026.00,9727.00,111772.00,784968.00,3941950.00,25361.00,772501.00,1254334.00,405116.00,437699.00,29429.00,31807.00,1137898.00,1388313.00,2483309.00,0.00,534303.00,55903.00,930723.00,1546566.00,47370.00,537394.00
saAus.K9.176,B.4.14,carlton,3,Washout,Washout,2012,m,foxhound,individual,c,meat,High_Protein,bca,1613751.00,143205.00,14807.00,1829458.00,4.00,0.00,84145.00,226905.00,705529.00,17.00,1823.00,38886.00,977311.00,27319.00,372467.00,2746.00,399530.00,466519.00,318310.00,13406.00,7712.00,62807.00,472421.00,2339826.00,15760.00,465217.00,788305.00,250529.00,265410.00,17308.00,18440.00,707624.00,835420.00,1501246.00,0.00,254420.00,37020.00,490421.00,965392.00,27472.00,320997.00
